acousticness,liveness,speechiness,tempo,key,valence,loudness,instrumentalness,duration_ms,time_signature,danceability,energy,title,popularity
0.702,0.123,0.0496,124.029,8,0.511,-7.446,0.761,201411,4,0.676,0.906,Yellow Density,12
0.367,0.378,0.0751,118.324,7,0.808,-6.063,2.16e-05,201600,4,0.626,0.848,"Got To Get Your Own - 7"" Short Edit",0
0.197,0.0917,0.102,162.625,2,0.544,-9.879,0.0128,519427,1,0.322,0.694,Le boeuf,2
0.418,0.0372,0.0335,90.053,6,0.563,-14.033,0.87,464080,4,0.365,0.597,Welcome Rain In Banana Grove,5
0.00895,0.0751,0.086,117.335,7,0.579,-5.947,0.0274,336103,4,0.871,0.643,5'...et quelque de bonheur,0
0.0639,0.151,0.0581,127.852,4,0.795,-9.314,0.00458,248271,4,0.45,0.586,Descarga,7
0.128,0.0712,0.0284,93.797,9,0.803,-12.414,0,223320,4,0.543,0.545,(Just) A Little More Line,0
0.836,0.0732,0.0304,125.879,9,0.227,-16.59,0.0183,363604,3,0.376,0.283,Call,9
0.841,0.083,0.0363,79.942,5,0.093,-18.204,0.597,556072,4,0.308,0.188,Ne - Original Mix,1
0.138,0.0794,0.268,126.793,10,0.689,-14.29,0.8,365307,4,0.773,0.418,10101,0
0.00735,0.236,0.0301,144.165,0,0.802,-5.866,0.822,292801,4,0.541,0.814,Cold Expression,11
0.0428,0.0784,0.0658,127.979,5,0.208,-9.769,0.187,438613,4,0.799,0.534,Never Come Back - Morgan Geist Remix,0
0.0428,0.0875,0.0993,131.003,9,0.121,-10.309,0.885,315732,4,0.733,0.841,Insect Near Piha Beach,33
0.742,0.104,0.0476,122.021,6,0.224,-17.508,0.873,48932,3,0.798,0.209,Hi Hello,24
0.918,0.227,0.0332,149.898,3,0.305,-12.93,0.656,169613,4,0.506,0.388,Sunny's Time,28
0.000164,0.18,0.0535,124.996,11,0.532,-7.613,0.875,369840,4,0.581,0.734,900 Degrees,33
0.000994,0.108,0.146,130.011,9,0.204,-6.334,0.921,341538,4,0.786,0.905,The Conditioning Track - NYC Mix,8
0.000554,0.104,0.0875,135.009,6,0.407,-8.488,0.907,363853,4,0.758,0.822,Dizzy New Heights - Shanti Celeste Remix,13
0.000263,0.0818,0.0599,123.961,1,0.0932,-12.98,0.897,570587,3,0.786,0.538,The Sky Was Pink - Holden Remix,0
0.00296,0.135,0.0537,125.192,3,0.651,-10.493,0.848,496084,4,0.85,0.608,It's a Crime - Caribou Remix,16
0.718,0.173,0.0797,99.746,6,0.849,-8.522,0.000291,322160,4,0.5,0.783,Curura,0
0.367,0.353,0.0765,98.493,0,0.846,-9.94,0.000338,250293,4,0.62,0.776,Man Up In The Sky,7
0.706,0.211,0.0325,115.079,5,0.883,-7.379,0.633,278040,4,0.683,0.743,Intergalactic Love Song,41
0.00335,0.795,0.3,130.203,11,0.513,-5.397,0.231,248267,4,0.414,0.932,Blue Lights,0
0.0298,0.142,0.118,115.029,9,0.833,-8.644,0.892,146867,4,0.904,0.564,Love The Way,8
0.416,0.317,0.065,109.622,7,0.963,-4.683,0.000373,273934,4,0.688,0.894,I'm Gonna Miss Ya,21
0.123,0.258,0.0513,112.839,9,0.843,-10.088,0,264000,4,0.811,0.725,Just U and Me,0
0.189,0.129,0.367,126.77,11,0.836,-3.909,0,159715,4,0.769,0.787,BOP,73
0.275,0.122,0.359,92.038,0,0.661,-3.641,0,274093,4,0.875,0.658,Hell on Earth (Front Lines),64
0.489,0.116,0.0381,130.383,7,0.0313,-7.01,0.00128,248640,3,0.397,0.408,Heron Dance,0
0.0987,0.0749,0.12,102.59,10,0.208,-15.961,0.702,154427,4,0.786,0.394,"Raindance, Pt. 1",4
0.969,0.102,0.0357,130.017,2,0.0344,-21.492,0.931,752337,4,0.251,0.0323,And the Darkest Hour is Just Before Dawn,14
0.883,0.173,0.0384,132.806,8,0.361,-18.74,0.461,137887,4,0.644,0.508,Galloop,0
0.0049,0.151,0.0417,145.799,4,0.341,-17.962,0.964,311697,4,0.364,0.41,Other Playgrounds,3
0.882,0.172,0.0374,79.985,8,0.519,-16.217,0.719,235707,4,0.626,0.541,Magpie,27
0.569,0.125,0.0486,114.801,7,0.448,-10.02,0.752,585952,4,0.484,0.571,Erzili,0
0.867,0.232,0.0351,140.03,9,0.934,-9.027,0.601,309093,4,0.792,0.697,Terriya,0
0.238,0.313,0.046,121.96,6,0.734,-7.084,3.9e-06,314886,4,0.748,0.689,Akal Akal,0
0.325,0.143,0.0636,116.207,7,0.782,-9.67,0.858,295892,4,0.773,0.776,Professor 3,0
0.0587,0.119,0.134,102.447,1,0.516,-11.316,0.00105,383191,4,0.726,0.502,Udi Baba,30
0.987,0.266,0.0463,89.63,0,0.102,-18.171,0.873,60013,4,0.278,0.239,High Life,28
0.391,0.114,0.0572,100.006,1,0.638,-9.45,0.65,245960,4,0.725,0.688,Like I Loved You,38
0.197,0.727,0.0568,157.2,1,0.853,-8.58,0.151,142824,4,0.621,0.469,Blue Verb,3
0.000576,0.236,0.056,108.022,11,0.735,-7.469,0.893,113347,4,0.707,0.863,Puff Lah,51
5.7e-05,0.0892,0.0648,138.242,6,0.96,-15.34,0.943,62093,4,0.784,0.706,Bicycle Ride,1
0.944,0.0953,0.0358,85.166,1,0.0813,-18.357,0.871,477960,3,0.177,0.22,Riversong,24
0.0759,0.134,0.0299,115.198,9,0.537,-6.773,8.99e-05,235896,4,0.664,0.643,Independent Woman,8
0.404,0.0297,0.22,206.405,8,0.773,-5.894,2.82e-05,164560,4,0.457,0.87,Why Can't There Be Love,0
0.292,0.102,0.0688,145.635,9,0.513,-10.364,0.788,157798,4,0.637,0.501,Creation Dubwise,8
0.0374,0.111,0.0519,159.203,11,0.82,-12.426,0.893,198037,1,0.766,0.559,Shikako Maru Ten,0
0.897,0.0906,0.0306,79.903,7,0.215,-11.999,0.579,234235,4,0.308,0.314,Color of Anyhow,0
0.00174,0.107,0.029,180.074,2,0.365,-5.902,5.75e-05,192467,4,0.377,0.65,Cherry-coloured Funk,0
0.147,0.212,0.224,178.008,3,0.484,-11.906,0,246160,4,0.358,0.596,Feel It In The Air,52
0.0264,0.618,0.684,205.116,7,0.508,-5.142,0,167908,4,0.442,0.71,Cops Shot The Kid,43
0.319,0.843,0.36,87.748,7,0.812,-11.679,0.12,201850,4,0.581,0.483,Indian Flute,0
